Area,Mean,Min,Max,ID,Diameter (mm),Comments,Date measurement (mm/dd/yy),was open at punching?
2.17,148.382,54,242,C83_L,1.66,,5/8/24,
0.97,144.203,74,188,C83_R,1.11,,5/8/24,
1.54,153.455,90,191,E407_L,1.40,,5/8/24,
2.45,162.628,66,245,C84_L,1.77,Open,5/8/24,
2.01,141.991,80,226,C84_R,1.60,,5/8/24,
2.37,147.783,88,197,E408_L,1.74,,5/8/24,
3.36,150.408,85,180,C85_L,2.07,Open,5/8/24,
2.24,148.764,81,184,C85_R,1.69,Open,5/8/24,
2.65,141.623,74,173,E410_L,1.84,,5/8/24,
3.10,148.375,85,214,B189_L,1.99,,5/8/24,
2.61,162.85,97,189,B189_R,1.82,,5/8/24,
1.45,141.078,80,181,E404_L,1.36,,5/8/24,
1.08,133.033,83,195,C80_L,1.17,,5/8/24,
1.58,155.291,96,216,C80_R,1.42,,5/8/24,
1.61,146.657,97,221,E405_L,1.43,,5/8/24,
2.68,152.822,79,184,C81_L,1.85,Open,5/8/24,
1.63,144.165,83,245,C81_R,1.44,,5/8/24,
1.61,148.483,104,188,E406_L,1.43,,5/8/24,
1.52,131.599,76,188,C82_L,1.39,,5/8/24,
0.96,127.612,77,168,C82_R,1.10,,5/29/24,
2.49,132.581,85,205,E414_L,1.78,,6/12/24,
2.04,117.449,51,164,C86_R,1.61,,1/21/25,
2.00,119.162,77,182,C86_L,1.59,,6/12/24,
3.03,127.176,65,183,E415_L,1.97,,6/12/24,
3.08,122.443,53,183,C87_R,1.98,,6/12/24,
2.73,110.221,38,187,C87_L,1.87,,6/12/24,
2.51,122.694,71,203,E420_L,1.79,,6/12/24,
1.40,98.961,48,174,C88_R,1.34,Open,6/12/24,
1.18,94.502,47,166,C88_L,1.22,Weird shape,6/12/24,
1.42,143.125,85,209,E421_L,1.35,,6/12/24,
3.49,145.861,81,201,D116_R,2.11,Open,6/12/24,
3.61,150.846,90,198,D116_L,2.14,,6/12/24,
3.09,133.578,74,186,E422_L,1.98,,6/12/24,
1.58,101.996,49,228,M128_R,1.42,,1/21/25,
1.18,86.447,30,239,M128_L,1.23,,6/12/24,
2.03,126.186,73,197,E423_L,1.61,,6/12/24,
1.47,98.898,45,232,M134_R,1.37,,6/12/24,
1.40,103.231,44,236,M134_L,1.33,,6/12/24,
1.75,134.531,84,188,E425_L,1.49,,6/12/24,
0.78,102.824,44,226,M129_R,1.00,,6/12/24,
0.75,105.336,41,216,M129_L,0.98,Open,6/12/24,
2.61,129.311,81,183,E426_L,1.82,,6/13/24,
2.06,95.942,51,234,M130_R,1.62,Open,6/13/24,
1.22,84.901,36,203,M130_L,1.25,,6/13/24,
2.33,136.333,87,183,E427_L,1.72,,6/13/24,
0.23,98,45,203,M131_R,0.55,Open,6/13/24,
2.17,109.985,49,213,M131_L,1.66,,6/13/24,
4.12,146.248,80,190,E428_L,2.29,Open,6/13/24,
0.72,111.706,55,223,M132_R,0.96,,6/13/24,
2.08,87.672,33,236,M132_L,1.63,Open,6/13/24,
3.20,146.356,87,205,E431_L,2.02,,6/13/24,
0.13,119.944,82,146,M136_R,0.40,Open,1/21/25,
0.65,94.083,45,187,M136_L,0.91,,6/13/24,
2.12,136.997,56,196,E432_L,1.64,,6/13/24,
1.62,95.745,43,242,M137_R,1.44,,6/13/24,
2.20,92.426,38,233,M137_L,1.67,Open,6/13/24,
2.06,133.757,88,186,E454_L,1.62,,6/13/24,
2.62,128.298,67,210,B197_R,1.83,,6/13/24,
1.84,132.658,84,182,B197_L,1.53,,6/13/24,
2.91,132.63,81,194,E441_L,1.93,,6/13/24,
2.60,126.649,48,192,C90_R,1.82,,6/13/24,
2.24,104.347,53,175,C90_L,1.69,Open,6/13/24,
2.97,133.274,85,193,E442_L,1.95,,6/13/24,
1.02,128.857,90,180,C91_R,1.14,,6/13/24,
1.92,129.879,60,173,C91_L,1.56,,6/13/24,
2.63,132.805,83,210,E443_L,1.83,,6/13/24,
2.54,120.358,43,192,C92_R,1.80,,6/14/24,
1.64,124.874,76,181,C92_L,1.44,,6/14/24,
3.08,120.09,62,173,E449_L,1.98,,6/14/24,
0.53,109.705,82,162,C94_R,0.82,,6/14/24,
2.11,122.794,65,194,C94_L,1.64,,6/14/24,
1.90,135.185,83,178,E450_L,1.56,,6/14/24,
1.04,102.802,66,166,C95_R,1.15,,6/14/24,
1.23,126.062,76,177,C95_L,1.25,,6/14/24,
2.86,118.87,53,224,E451_L,1.91,,6/14/24,
1.60,123.372,60,190,C96_R,1.43,,6/14/24,
1.87,116.311,64,178,C96_L,1.54,,6/14/24,
2.37,118.755,64,180,E452_L,1.74,,6/14/24,
0.81,119.15,74,182,C97_R,1.02,,6/14/24,
1.11,110.743,71,213,C97_L,1.19,,6/14/24,
2.96,131.082,80,212,E453_L,1.94,,6/14/24,
4.16,144.149,77,196,B198_R,2.30,,6/14/24,
3.14,132.845,80,202,B198_L,2.00,,6/14/24,
2.77,137.889,90,188,E458_L,1.88,,6/14/24,
2.67,132.86,85,194,B199_R,1.84,,6/14/24,
3.27,124.172,82,189,B199_L,2.04,,6/14/24,
2.64,126.489,76,184,E459_L,1.83,,6/14/24,
3.20,129.687,85,180,B200_R,2.02,,6/14/24,
2.89,125.422,75,182,B200_L,1.92,,6/14/24,
2.86,126.14,71,195,E460_L,1.91,,6/14/24,
2.33,132.631,80,192,B201_R,1.72,,6/14/24,
2.76,122.522,40,198,B201_L,1.88,,6/14/24,
1.75,133.951,94,181,E463_L,1.49,,6/14/24,
0.95,118.753,48,224,M139_R,1.10,,6/14/24,
1.13,97.871,42,210,M139_L,1.20,,6/14/24,
1.72,121.291,78,187,E464_L,1.48,,6/14/24,
1.75,86.687,38,226,M140_R,1.49,,6/14/24,
2.32,89.688,42,223,M140_L,1.72,,6/14/24,
2.41,135.003,82,197,E468_L,1.75,Open,6/14/24,
0.33,127.461,71,192,M141_R,0.64,,6/14/24,
0.25,167.196,98,201,M141_L,0.57,,6/14/24,
1.37,128.947,90,192,E469_L,1.32,,6/14/24,
0.25,106.794,52,204,M142_R,0.56,,6/14/24,
1.17,91.973,38,230,M142_L,1.22,,6/14/24,
3.77,127.605,76,179,E470_L,2.19,,6/14/24,
1.38,120.871,49,212,M143_R,1.32,,6/14/24,
0.54,81.948,53,194,M143_L,0.83,Open,6/14/24,
3.07,126.551,30,180,E472_L,1.98,Open,1/21/25,
2.17,135.686,80,207,B205_R,1.66,,6/14/24,
2.21,130.584,78,192,B205_L,1.68,,6/14/24,
3.22,121.61,61,185,E477_L,2.03,,6/14/24,
2.89,122.26,74,183,B206_R,1.92,,6/14/24,
1.81,144.499,95,217,B206_L,1.52,,6/14/24,
2.37,128.974,78,183,E478_L,1.74,,7/22/24,
2.15,138.241,74,180,B207_R,1.65,,7/22/24,
2.26,127.14,59,177,B207_L,1.69,,1/21/25,
2.55,121.814,69,179,E474_L,1.80,,7/22/24,
1.93,131.095,88,180,D121_R,1.57,,7/22/24,
2.81,130.43,91,179,D121_L,1.89,,7/22/24,
2.55,140.168,91,204,E475_L,1.80,,7/22/24,
2.88,128.424,73,202,B210_R,1.91,,7/22/24,
2.81,121.762,70,177,B210_L,1.89,,7/22/24,
2.75,130.241,85,191,E476_L,1.87,,7/22/24,
1.51,123,84,192,B211_R,1.39,,7/22/24,
2.91,128.134,77,191,B211_L,1.92,,7/22/24,
1.81,134.898,87,211,E482_L,1.52,,7/22/24,
2.53,119.35,71,209,B212_R,1.80,,7/22/24,
3.02,125.168,70,204,B212_L,1.96,,7/22/24,
2.61,125.787,73,200,E483_L,1.82,,7/22/24,
2.26,126.131,78,183,B213_R,1.70,,7/22/24,
2.89,129.619,69,203,B213_L,1.92,,7/22/24,
2.77,117.019,71,179,E484_L,1.88,,7/22/24,
3.00,130.728,79,231,B214_R,1.96,,7/22/24,
2.22,122.409,73,174,B214_L,1.68,,7/22/24,
3.15,132.738,79,189,E486_L,2.00,Open,7/22/24,
2.03,127.759,83,192,D122_R,1.61,,7/22/24,
2.34,137.816,98,208,D122_L,1.73,,7/22/24,
1.76,119.035,78,183,E494_L,1.50,,7/22/24,
1.97,129.421,94,191,D123_R,1.58,,7/22/24,
2.63,143.741,85,199,D123_L,1.83,,7/22/24,
2.95,128.289,80,189,E495_L,1.94,,7/22/24,
1.95,140.411,106,202,D124_R,1.57,,7/22/24,
1.82,129.024,93,203,D124_L,1.52,,7/22/24,
2.04,134.7,77,209,E503_L,1.61,,7/22/24,
1.62,125.963,79,208,B215_R,1.44,,7/22/24,
2.21,125.902,84,222,B215_L,1.68,,7/22/24,
2.64,131.146,81,192,E505_L,1.83,,7/22/24,
1.61,126.869,81,194,B217_R,1.43,,7/22/24,
2.06,118.72,75,179,B217_L,1.62,,7/22/24,
2.35,129.07,77,190,E506_L,1.73,,7/22/24,
1.79,119.888,75,199,B218_R,1.51,,7/22/24,
2.12,121.064,79,194,B218_L,1.64,,7/22/24,
3.44,128.27,74,203,E491_L,2.09,,7/22/24,
2.47,131.087,87,190,D125_R,1.77,,7/22/24,
2.63,138.93,92,193,D125_L,1.83,,7/22/24,
2.48,134.505,83,202,E492_L,1.78,,7/22/24,
1.41,120.623,68,178,B219_R,1.34,,1/21/25,
2.25,128.011,59,176,B219_L,1.69,,1/21/25,
2.71,143.115,75,189,E507_L,1.86,,7/22/24,
1.51,143.866,83,201,B220_R,1.39,,7/22/24,
1.83,141.198,85,191,B220_L,1.53,,7/22/24,
1.84,128.232,72,182,E508_L,1.53,,1/21/25,
1.85,127.135,77,174,B221_R,1.53,,7/22/24,
3.07,151.177,71,184,B221_L,1.98,Open,7/22/24,
2.05,136.902,75,185,E512_L,1.61,,7/22/24,
1.80,143.542,94,187,D126_R,1.52,,7/22/24,
1.32,145.307,95,182,D126_L,1.30,,7/22/24,
1.35,143.18,85,195,E513_L,1.31,,7/22/24,
1.31,135.229,93,218,D127_R,1.29,,7/22/24,
1.41,129.435,91,182,D127_L,1.34,,7/22/24,
2.91,141.657,70,214,E514_L,1.93,,7/22/24,
1.79,132.688,83,178,D128_R,1.51,,1/21/25,
1.76,144.059,97,189,D128_L,1.50,,7/22/24,
3.08,141.893,84,190,E518_L,1.98,,7/22/24,
1.95,142.412,97,187,D130_R,1.58,,7/22/24,
1.68,144.549,99,188,D130_L,1.46,,7/22/24,
2.97,139.671,79,191,E519_L,1.94,,7/22/24,
0.97,134.269,104,214,D131_R,1.11,,7/22/24,
0.98,138.473,88,189,D131_L,1.12,,7/22/24,
3.13,145.295,90,199,E520_L,2.00,,7/22/24,
1.07,146.136,99,194,D132_R,1.16,,7/22/24,
1.81,140.285,91,204,D132_L,1.52,,7/22/24,
3.00,140.735,80,222,E521_L,1.95,,7/22/24,
1.94,133.765,69,175,C98_R,1.57,,7/22/24,
2.11,137.322,63,217,C98_L,1.64,,7/22/24,
3.20,145.481,72,194,E522_L,2.02,,7/22/24,
1.98,136.585,77,186,C100_R,1.59,,7/22/24,
1.60,133.023,69,188,C100_L,1.43,,7/22/24,
3.65,123.483,61,158,E523_L,2.16,Open,7/22/24,
0.85,146.582,89,213,C101_R,1.04,,7/22/24,
1.24,152.839,83,187,C101_L,1.26,,7/22/24,
2.78,144.223,87,194,E524_L,1.88,,7/22/24,
1.47,148.653,50,180,C102_R,1.37,Open,7/22/24,
1.60,128.997,75,161,C102_L,1.43,,7/22/24,
3.33,137.622,78,187,E525_L,2.06,,7/22/24,
1.34,128.969,66,180,C103_R,1.31,,7/22/24,
1.01,114.343,71,167,C103_L,1.13,,7/22/24,
1.50,138.939,92,189,E528_L,1.38,Open,7/22/24,
1.58,130.875,74,172,C104_R,1.42,Open,7/22/24,
1.39,127.358,61,186,C104_L,1.33,,7/22/24,
3.05,147.657,71,205,E529_L,1.97,,7/22/24,
1.67,134.546,65,205,C108_R,1.46,,7/22/24,
2.97,127.662,57,165,C108_L,1.94,,7/22/24,
3.24,142.803,70,218,E530_L,2.03,,7/22/24,
1.42,103.874,54,236,M144_R,1.35,,7/22/24,
1.79,95.047,52,213,M144_L,1.51,,7/22/24,
1.50,136.733,92,182,E531_L,1.38,,8/30/24,
2.22,97.552,44,234,M145_R,1.68,,8/30/24,
1.61,82.379,42,208,M145_L,1.43,,8/30/24,
3.43,140.634,69,188,E526_L,2.09,,8/30/24,
0.73,132.734,76,178,C99_R,0.96,,8/30/24,
1.92,136.741,63,173,C99_L,1.56,,8/30/24,
3.50,146.643,79,183,E527_L,2.11,,8/30/24,
0.52,125.803,72,176,C105_R,0.81,,8/30/24,
2.00,141.77,52,168,C105_L,1.59,Open,8/30/24,
2.29,140.159,76,182,E532_L,1.71,,8/30/24,
0.96,125.114,55,178,C106_R,1.11,,8/30/24,
2.28,138.402,67,164,C106_L,1.70,Open,8/30/24,
3.11,141.2,78,177,E533_L,1.99,,8/30/24,
0.93,136.347,79,175,C107_R,1.09,,8/30/24,
0.55,115.254,64,191,C107_L,0.84,,8/30/24,
3.82,138.769,70,207,E534_L,2.20,,8/30/24,
0.28,104.854,59,146,C109_R,0.60,,8/30/24,
1.23,128.51,62,179,C109_L,1.25,,8/30/24,
1.85,132.462,86,174,E535_L,1.53,,8/30/24,
2.07,97.581,38,243,M146_R,1.62,,8/30/24,
2.31,99.587,43,206,M146_L,1.72,,8/30/24,
2.77,130.202,62,196,E538_L,1.88,,8/30/24,
1.58,120.537,78,203,B229_R,1.42,,8/30/24,
2.53,130.607,84,200,B229_L,1.80,,8/30/24,
1.90,132.57,61,184,E546_L,1.55,Open,9/20/24,
2.83,140.093,64,194,B230_R,1.90,,9/20/24,
2.68,129.503,59,192,B230_L,1.85,,9/20/24,
1.84,148.262,79,220,E547_L,1.53,,9/20/24,
2.65,149.685,72,211,B231_R,1.84,,9/20/24,
2.36,130.748,69,193,B231_L,1.73,,9/20/24,
3.03,137.02,59,181,E541_L,1.96,,9/20/24,
1.80,132.464,77,190,D134_R,1.51,,9/20/24,
2.35,133.377,77,192,D134_L,1.73,,9/20/24,
1.17,155.108,95,202,E542_L,1.22,,9/20/24,
1.04,139.011,78,175,D146_R,1.15,,9/20/24,
1.84,124.692,76,190,D146_L,1.53,,9/20/24,
1.84,126.01,69,189,E543_L,1.53,,9/20/24,
1.92,133.353,84,204,D147_R,1.56,,9/20/24,
3.05,127.173,62,192,D147_L,1.97,,9/20/24,
3.13,134.449,82,191,E544_L,2.00,,9/20/24,
2.74,135.212,77,192,D148_R,1.87,,9/20/24,
2.20,134.598,74,196,D148_L,1.67,,9/20/24,
3.02,119.419,65,198,E545_L,1.96,,9/20/24,
2.12,132.298,77,194,D149_R,1.64,,9/20/24,
2.53,128.82,81,178,D149_L,1.79,,9/20/24,
2.02,116.774,71,181,E548_L,1.60,,9/20/24,
1.55,126.859,80,198,D150_R,1.41,,9/20/24,
1.61,127.97,81,194,D150_L,1.43,,9/20/24,
2.15,124.621,77,189,E550_L,1.66,,9/20/24,
2.68,136.957,79,194,D136_R,1.85,,9/20/24,
1.86,134.968,84,187,D136_L,1.54,,9/20/24,
2.02,126.527,78,184,E551_L,1.60,,9/20/24,
2.74,139.361,76,194,D137_R,1.87,,9/20/24,
2.24,135.673,82,191,D137_L,1.69,,9/20/24,
3.64,135.491,55,194,E552_L,2.15,,9/20/24,
1.82,135.319,78,187,D140_R,1.52,,9/20/24,
2.00,130.352,74,184,D140_L,1.60,Open,9/20/24,
1.87,120.464,59,184,E553_L,1.54,,9/20/24,
2.22,121.112,78,182,D141_R,1.68,,9/20/24,
2.15,130.316,59,191,D141_L,1.65,,9/20/24,
2.37,126.377,54,179,E554_L,1.74,,9/20/24,
1.87,124.808,74,172,D142_R,1.54,,9/20/24,
1.35,135.958,82,194,D142_L,1.31,,9/20/24,
2.71,131.193,68,188,E555_L,1.86,,9/20/24,
0.91,129.78,86,181,D143_R,1.08,,9/20/24,
1.93,137.443,84,186,D143_L,1.57,,9/20/24,
2.28,124.419,62,199,E556_L,1.71,,9/20/24,
2.51,146.725,74,199,D138_R,1.79,,9/20/24,
1.14,143.151,94,202,D138_L,1.20,,9/20/24,
2.35,127.441,70,180,E557_L,1.73,,9/20/24,
1.74,136.753,88,185,D139_R,1.49,,9/20/24,
1.44,139.177,89,187,D139_L,1.35,,9/20/24,
2.14,132.919,73,224,E558_L,1.65,,9/20/24,
1.79,132.214,83,197,D144_R,1.51,,9/20/24,
1.33,131.207,71,199,D144_L,1.30,,9/20/24,
2.65,135.6,68,192,E559_L,1.84,,9/20/24,
2.22,134.413,67,193,D145_R,1.68,,9/20/24,
2.35,126.831,65,180,D145_L,1.73,,9/20/24,
2.37,129.295,61,207,E560_L,1.74,,9/20/24,
1.55,132.414,78,175,B244_R,1.40,,9/20/24,
2.60,130.414,78,205,B244_L,1.82,,9/20/24,
2.47,127.471,64,182,E562_L,1.77,,9/20/24,
0.75,131.908,68,183,B246_R,0.98,,9/20/24,
2.12,120.573,61,176,B246_L,1.64,,9/20/24,
1.75,130.679,75,211,E568_L,1.49,,9/20/24,
2.16,117.871,65,189,B248_R,1.66,,9/20/24,
1.81,120.617,63,184,B248_L,1.52,,9/20/24,
2.54,147.206,83,184,E569_L,1.80,,9/20/24,
2.95,124.918,51,178,B240_R,1.94,,9/20/24,
1.80,133.627,76,204,B240_L,1.51,,9/20/24,
3.33,129.103,53,179,E570_L,2.06,,9/20/24,
2.01,127.191,68,186,B241_R,1.60,,9/20/24,
2.49,131.84,79,202,B241_L,1.78,,9/20/24,
3.16,132.111,60,189,E571_L,2.01,,9/20/24,
2.04,129.645,67,195,B249_R,1.61,,9/20/24,
1.96,123.606,67,183,B249_L,1.58,,9/20/24,
2.98,134.66,61,178,E574_L,1.95,Open,9/20/24,
1.71,148.707,85,206,B250_R,1.48,,9/20/24,
2.46,128.492,68,191,B250_L,1.77,,9/20/24,
1.93,129.422,67,172,E575_L,1.57,,9/20/24,
2.57,126.551,58,177,B251_R,1.81,,9/20/24,
2.31,143.872,80,187,B251_L,1.71,,9/20/24,
1.73,126.419,85,176,E579_L,1.48,,10/7/24,
1.87,114.606,60,174,D151_R,1.54,,10/7/24,
1.89,114.699,57,174,D151_L,1.55,,10/7/24,
1.93,124.556,72,181,E585_L,1.57,,10/7/24,
2.35,108.64,54,177,B252_R,1.73,,10/7/24,
1.26,124.464,66,209,B252_L,1.27,,10/7/24,
1.61,116.244,54,187,E586_L,1.43,,10/7/24,
1.02,124.867,58,192,B253_R,1.14,,10/7/24,
0.66,111.559,62,192,B253_L,0.91,,10/7/24,
1.74,109.721,57,190,E587_L,1.49,,10/7/24,
2.61,102.524,50,165,B254_R,1.82,,10/7/24,
2.20,112.738,56,181,B254_L,1.68,,10/7/24,
1.87,116.333,65,183,E581_L,1.54,,10/7/24,
2.36,133.52,73,185,D153_R,1.73,,10/7/24,
1.96,127.098,80,195,D153_L,1.58,,10/7/24,
1.93,113.835,60,187,E582_L,1.57,,10/7/24,
1.32,116.607,63,183,D154_R,1.30,,10/7/24,
2.32,131.491,60,191,D154_L,1.72,,10/7/24,
3.10,123.723,62,176,E589_L,1.99,Irregular shape,10/7/24,
3.19,148.54,82,193,B255_R,2.01,,10/7/24,
3.21,136.928,77,188,B255_L,2.02,,10/7/24,
1.66,134.777,77,199,E590_L,1.46,,10/7/24,
3.51,133.401,70,172,B256_R,2.12,,10/7/24,
2.41,118,61,210,B256_L,1.75,,10/7/24,
2.80,131.209,50,189,E591_L,1.89,,10/7/24,
2.13,127.813,74,180,B257_R,1.65,,10/7/24,
2.37,131.605,78,199,B257_L,1.74,,10/7/24,
2.01,118.72,63,166,E592_L,1.60,,10/7/24,
2.55,143.656,83,206,B258_R,1.80,,10/7/24,
2.39,139.759,82,199,B258_L,1.74,,10/7/24,
5.07,129.89,63,180,E605_L,2.54,Open,10/7/24,
5.65,125.752,53,174,B259_R,2.68,Open,10/7/24,
5.18,137.773,71,193,B259_L,2.57,,10/7/24,
3.86,139.759,61,238,E615_L,2.22,,10/7/24,
3.43,122.682,54,186,D159_R,2.09,,10/7/24,
3.72,132.479,74,198,D159_L,2.18,,10/7/24,
5.37,151.234,68,194,E623_L,2.61,Open,10/7/24,
4.99,147.951,75,190,D160_R,2.52,,10/7/24,
2.87,124.48,68,180,D160_L,1.91,,10/7/24,
5.03,131.153,66,196,E627_L,2.53,,10/7/24,
5.70,130.213,48,184,D161_R,2.70,,10/7/24,
6.44,127.438,54,176,D161_L,2.86,,10/7/24,
2.90,133.69,64,213,E630_L,1.92,,10/7/24,
4.02,144.077,78,190,D162_R,2.26,,10/7/24,
3.65,134.95,57,187,D162_L,2.16,,10/7/24,
5.43,126.265,48,206,E636_L,2.63,,10/7/24,
4.09,130.201,52,193,B271_R,2.28,Open,10/7/24,
3.37,129.069,65,194,B271_L,2.07,,10/7/24,
4.73,132.548,68,195,E643_L,2.45,,10/7/24,
3.81,120.799,42,175,C117_R,2.20,,10/7/24,
3.64,124.559,44,176,C117_L,2.15,,10/7/24,
4.74,132.744,66,178,E644_L,2.46,,10/7/24,
3.92,126.508,69,204,B272_R,2.23,,10/7/24,
6.61,144.14,70,208,B272_L,2.90,Open,10/7/24,
7.82,138.254,52,184,E645_L,3.16,Open,10/7/24,
4.99,132.206,54,178,B273_R,2.52,Open,10/7/24,
6.04,140.45,69,187,B273_L,2.77,Open,10/7/24,
5.68,127.05,60,178,E646_L,2.69,,10/7/24,
4.52,134.523,66,175,B274_R,2.40,Open,10/7/24,
3.96,128.49,63,201,B274_L,2.24,,10/7/24,
4.99,130.715,71,217,E648_L,2.52,,10/7/24,
3.90,129.993,56,189,D167_R,2.23,,10/7/24,
4.87,126.015,47,184,D167_L,2.49,,10/7/24,
5.10,113.242,50,180,E658_L,2.55,Open,10/9/24,
3.86,127.337,70,182,D168_R,2.22,Open,10/9/24,
3.65,117.247,62,173,D168_L,2.16,,10/9/24,
5.41,115.057,51,177,E691_L,2.62,Open,10/9/24,
3.64,119.975,64,216,D176_R,2.15,Open,10/9/24,
4.41,121.401,55,179,D176_L,2.37,,10/9/24,
4.73,122.419,56,183,E700_L,2.45,,10/9/24,
4.56,127.978,54,172,B281_R,2.41,,10/9/24,
5.76,144.693,75,195,B281_L,2.71,,10/9/24,
4.99,132.714,54,181,E701_L,2.52,Open,10/9/24,
6.20,126.422,39,164,B282_R,2.81,,10/9/24,
5.60,128.769,56,161,B282_L,2.67,Open,10/9/24,
4.07,126.141,68,161,E702_L,2.28,,10/9/24,
5.35,128.298,58,217,B283_R,2.61,,10/9/24,
4.70,135.213,54,221,B283_L,2.45,,10/9/24,
6.10,133.508,58,174,E703_L,2.79,,10/9/24,
7.36,136.029,54,169,B284_R,3.06,,10/9/24,
5.47,137.465,44,178,B284_L,2.64,,10/9/24,
4.46,134.799,69,203,E704_L,2.38,,10/9/24,
2.54,129.444,55,162,C123_R,1.80,,10/9/24,
2.95,122.658,58,175,C123_L,1.94,,10/9/24,
4.46,127.386,50,167,E705_L,2.38,,10/9/24,
3.29,124.461,57,160,C124_R,2.05,,10/9/24,
3.02,129.118,61,167,C124_L,1.96,,10/9/24,
4.71,126.829,48,177,E706_L,2.45,,10/9/24,
2.18,125.22,48,174,C125_R,1.67,,10/9/24,
0.87,122.48,81,187,C125_L,1.05,,10/9/24,
3.74,128.575,69,185,E707_L,2.18,,10/9/24,
3.42,135.565,76,179,C126_R,2.09,,10/9/24,
2.12,129.724,61,176,C126_L,1.64,,10/9/24,
4.15,131.957,59,176,E708_L,2.30,,10/9/24,
3.42,132.297,50,180,C127_R,2.09,Open,10/9/24,
1.63,117.288,59,160,C127_L,1.44,,10/9/24,
4.90,137.033,69,170,E709_L,2.50,,10/9/24,
3.55,137.392,73,177,D181_R,2.13,,10/9/24,
3.16,141.185,77,182,D181_L,2.01,,10/9/24,
6.60,133.29,52,167,E710_L,2.90,Open,10/9/24,
3.02,141.195,84,179,D182_R,1.96,,10/9/24,
4.62,134.753,71,167,D182_L,2.43,,10/9/24,
5.72,128.408,47,165,E711_L,2.70,Open,10/9/24,
3.39,141.944,78,195,D184_R,2.08,,10/9/24,
4.94,122.494,64,162,D184_L,2.51,Open,10/9/24,
4.71,122.803,56,166,E718_L,2.45,,10/9/24,
4.81,141.668,71,175,D185_R,2.48,,10/9/24,
4.28,142.611,87,173,D185_L,2.33,,10/9/24,
4.84,141.643,70,183,E725_L,2.48,,10/9/24,
5.71,143.38,72,178,D188_R,2.70,,10/9/24,
4.34,148.304,87,190,D188_L,2.35,,10/9/24,
5.74,140.261,69,177,E712_L,2.70,,10/9/24,
2.05,123.932,72,181,C128_R,1.62,,10/9/24,
1.29,119.411,70,160,C128_L,1.28,,10/9/24,
4.19,125.467,64,178,E713_L,2.31,,10/9/24,
3.54,144.707,83,216,D183_R,2.12,Open,10/9/24,
3.41,139.665,67,178,D183_L,2.08,,10/9/24,
3.88,141.061,59,183,E714_L,2.22,,10/9/24,
3.80,137.829,71,197,D191_R,2.20,,10/9/24,
3.99,141.701,65,183,D191_L,2.25,,10/9/24,
4.69,133.913,67,188,E720_L,2.44,,10/9/24,
4.89,152.251,81,201,D192_R,2.49,,10/9/24,
4.25,145.15,84,193,D192_L,2.33,,10/9/24,
4.56,128.817,61,170,E728_L,2.41,,10/9/24,
5.07,140.374,71,185,D193_R,2.54,,10/9/24,
4.61,140.119,74,202,D193_L,2.42,,10/9/24,
4.29,119.719,56,169,E732_L,2.34,,10/9/24,
3.83,140.482,78,199,D195_R,2.21,,10/9/24,
3.84,134.3,69,181,D195_L,2.21,,10/9/24,
5.25,119.841,21,162,E736_L,2.58,Open,10/9/24,
2.31,131.727,68,174,D196_R,1.72,Open,10/9/24,
3.59,128.137,70,176,D196_L,2.14,,10/9/24,
4.76,134.114,58,175,E737_L,2.46,,10/9/24,
1.24,140.819,90,196,D197_R,1.26,,10/9/24,
3.49,132.215,60,180,D197_L,2.11,,10/9/24,
4.21,129.382,63,193,E738_L,2.32,,10/9/24,
2.86,124.641,58,162,D198_R,1.91,,10/9/24,
2.68,135.919,80,183,D198_L,1.85,,10/9/24,
4.77,132.866,55,170,E739_L,2.47,,10/9/24,
2.12,121.941,60,179,C134_R,1.64,,10/9/24,
3.78,131.45,46,191,C134_L,2.20,,10/9/24,
6.34,147.78,74,204,E740_L,2.84,,10/14/24,
2.48,137.944,52,186,C132_R,1.78,Open,10/14/24,
3.85,143.734,74,183,C132_L,2.21,,10/14/24,
6.43,144.968,61,187,E741_L,2.86,,10/14/24,
1.98,138.098,83,201,C133_R,1.59,,10/14/24,
1.75,133.694,48,176,C133_L,1.49,Open,10/14/24,
6.50,145.841,72,196,E742_L,2.88,,10/14/24,
2.26,134.381,62,227,C135_R,1.70,,10/14/24,
1.38,123.131,60,192,C135_L,1.32,,10/14/24,
5.35,147.901,78,196,E743_L,2.61,,10/14/24,
2.48,120.422,53,186,C136_R,1.78,,10/14/24,
2.66,133.201,47,185,C136_L,1.84,,10/14/24,
3.07,140.167,70,191,E744_L,1.98,,10/14/24,
3.76,131.789,61,189,C138_R,2.19,,10/14/24,
2.49,130.472,55,187,C138_L,1.78,Open,10/14/24,
3.92,140.639,76,205,E745_L,2.24,,10/14/24,
2.54,132.445,80,185,C139_R,1.80,,10/14/24,
3.58,140.96,75,208,C139_L,2.14,,10/14/24,
3.33,140.988,28,231,E754_L,2.06,Open,10/14/24,
1.20,98.939,43,161,C142_R,1.23,,10/14/24,
1.61,126.536,73,184,C142_L,1.43,,10/14/24,
3.99,141.425,73,215,E757_L,2.25,,10/14/24,
1.97,93.399,40,231,M156_R,1.59,,10/14/24,
1.16,79.132,33,215,M156_L,1.22,,10/14/24,
2.85,132.264,57,183,E762_L,1.91,,10/14/24,
2.53,91.71,38,239,M158_R,1.80,,10/14/24,
0.94,96.402,36,225,M158_L,1.09,,10/14/24,
2.44,124.849,64,180,E763_L,1.76,,10/14/24,
