Area,Mean,Min,Max,ID,Diameter (mm),Comments,Date measurement (mm/dd/yy),was open at punching?
1.38,111.336,45,160,C50_R,1.33,,1/13/25,
1.91,137,64,185,C50_L,1.56,Open,1/14/25,
2.92,139.485,70,211,E879_L,1.93,Open,1/14/25,
3.53,148.689,78,175,B319_R,2.12,,1/14/25,
2.63,143.473,82,184,B319_L,1.83,Open,1/14/25,yes
2.46,128.643,69,161,E880_L,1.77,Open,1/14/25,
2.67,157.818,82,197,B72_R,1.84,,1/14/25,
2.89,151.809,83,179,B72_L,1.92,Open,1/14/25,
3.13,143.435,73,162,E881_L,2.00,Open,1/14/25,
2.87,152.929,80,192,B73_R,1.91,Open,1/14/25,
2.88,157.518,82,183,B73_L,1.91,Open,1/14/25,
1.83,121.292,64,165,E171_L,1.52,,1/14/25,
2.80,133.342,57,180,B77_R,1.89,,1/14/25,
3.83,112.885,63,141,B77_L,2.21,Open,1/14/25,
4.39,139.021,67,175,E172_L,2.36,Open,1/14/25,
2.81,146.186,70,180,B76_R,1.89,,1/14/25,
3.77,147.595,73,184,B76_L,2.19,Open,1/21/25,
2.96,155.925,73,185,E173_L,1.94,,1/14/25,
2.88,131.27,58,183,B81_R,1.91,,1/14/25,
3.83,127.61,58,172,B81_L,2.21,Open,1/14/25,
3.41,139.357,57,179,E174_L,2.08,,1/14/25,
1.97,134.309,75,179,B78_R,1.58,,1/14/25,
2.56,147.215,74,192,B78_L,1.80,Open,1/14/25,
3.09,135.288,66,175,E175_L,1.98,,1/14/25,
3.34,143.802,70,185,B79_R,2.06,,1/14/25,
3.79,154.798,65,182,B79_L,2.20,Open,1/14/25,
3.57,149.26,65,185,E184_L,2.13,Open,1/14/25,
2.13,164.486,86,190,B80_R,1.65,,1/14/25,
2.94,143.037,77,212,B80_L,1.93,Open,1/14/25,
1.35,129.438,80,171,E185_L,1.31,,1/14/25,
2.21,148.827,72,181,B82_R,1.68,,1/14/25,
2.46,137.955,71,173,B82_L,1.77,,1/14/25,
